,_id,created_at,tweet_content,keyword,user_location,entities,classified
171,ObjectId(6091f3547ef2d107a440567a),2021-05-04 13:11:35,,['SHEIN'],"São Bernardo do Campo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': '_gabriel_geno_', 'name': 'geno', 'id': 1132689273700929536, 'id_str': '1132689273700929536', 'indices': [0, 15]}], 'symbols': []}",1.0
172,ObjectId(6091f3547ef2d107a440567b),2021-05-04 13:11:36,imnotlyarax nao achar la vei,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'imnotlyarax', 'name': 'ly random', 'id': 1183491845650894848, 'id_str': '1183491845650894848', 'indices': [0, 12]}], 'symbols': []}",1.0
173,ObjectId(6091f3547ef2d107a440567c),2021-05-04 13:11:49,dar olhadinha aq pfvr roxo aumentar conto ganhar real mes,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
175,ObjectId(6091f3547ef2d107a440567e),2021-05-04 13:11:56,colocar sérum novo promoção dizer esperar,['Boticário'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
178,ObjectId(6091f3547ef2d107a4405681),2021-05-04 13:12:11,muita vtd beber bem gelar,['Coca-cola'],-♥ final contente 😝,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
179,ObjectId(6091f3547ef2d107a4405682),2021-05-04 13:12:43,cadê applepay,['Nubank'],None,"{'hashtags': [{'text': 'ApplePay', 'indices': [15, 24]}], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}], 'symbols': []}",1.0
180,ObjectId(6091f3547ef2d107a4405683),2021-05-04 13:12:51,concorrente,['Nubank'],Ovelhas negras,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'ouotison', 'name': 'Watson Andrade', 'id': 3245501200, 'id_str': '3245501200', 'indices': [0, 9]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [10, 17]}], 'symbols': []}",1.0
184,ObjectId(6091f3547ef2d107a4405687),2021-05-04 13:13:11,sonhar comer coxinha tomar nada nada kidman entrar sonho moça caixa confusa dinheiro meter contar dinheiro mulher mandar tomar conta vida,['Coca-cola'],moscow,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
185,ObjectId(6091f3547ef2d107a4405688),2021-05-04 13:13:11,wwerrrraaaaarraarrrrrr tradução aumentar brincadeira preciso querer aceitar,['Nubank'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}], 'symbols': []}",1.0
188,ObjectId(6091f3547ef2d107a440568b),2021-05-04 13:13:26,coloquei google aparaceu aliexpress amazon algumas outras,['SHEIN'],tua glória é lutar.,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': '_gabriel_geno_', 'name': 'geno', 'id': 1132689273700929536, 'id_str': '1132689273700929536', 'indices': [0, 15]}], 'symbols': []}",1.0
190,ObjectId(6091f3547ef2d107a440568d),2021-05-04 13:13:32,fadinhadd corretora valores,['Nubank'],"Goiânia, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'fadinhadd', 'name': 'princesinha ?', 'id': 53802795, 'id_str': '53802795', 'indices': [0, 10]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [11, 18]}, {'screen_name': 'modalmais', 'name': 'modalmais', 'id': 2578778256, 'id_str': '2578778256', 'indices': [52, 62]}], 'symbols': []}",1.0
191,ObjectId(6091f3547ef2d107a440568e),2021-05-04 13:13:36,papo reto pagar r emprestar cartão crédito celular conseguir trabalhar excelente pagadora explico dm compro dar baixo,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'EshHaughton', 'name': '☀️🧡Eshiley Haughton 👑⚡🏆', 'id': 1168737090831560704, 'id_str': '1168737090831560704', 'indices': [3, 15]}], 'symbols': []}",1.0
192,ObjectId(6091f3547ef2d107a440568f),2021-05-04 13:13:38,aumentar marido desempregado carteira assinar,['Nubank'],"São José dos Campos, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
195,ObjectId(6091f3547ef2d107a4405692),2021-05-04 13:13:44,ainda bem aumentar dinheiro sustentar oq imaginar kk,['Nubank'],"Campo Grande, Rio de Janeiro","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
197,ObjectId(6091f3547ef2d107a4405694),2021-05-04 13:14:02,doida cartão virar carrinho cada vez barrotado,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
199,ObjectId(6091f3547ef2d107a4405696),2021-05-04 13:14:05,aumentar sinal precisar montar computador novo falta arrumar emprego pós formatura,['Nubank'],"Rio de Janeiro, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
201,ObjectId(6091f3547ef2d107a4405698),2021-05-04 13:14:15,ninparra amiga receber salário ali,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'ninparra', 'name': 'banana', 'id': 1164563484606119936, 'id_str': '1164563484606119936', 'indices': [0, 9]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [10, 17]}], 'symbols': []}",1.0
203,ObjectId(6091f3547ef2d107a440569a),2021-05-04 13:14:28,precisar cartões liberar,['Nubank'],Ovelhas negras,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'ouotison', 'name': 'Watson Andrade', 'id': 3245501200, 'id_str': '3245501200', 'indices': [0, 9]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [10, 17]}, {'screen_name': 'modalmais', 'name': 'modalmais', 'id': 2578778256, 'id_str': '2578778256', 'indices': [18, 28]}], 'symbols': []}",1.0
204,ObjectId(6091f3547ef2d107a440569b),2021-05-04 13:14:46,andrezzin_cec kkkkkkkkno fundo agradeço,['Nubank'],"Contagem, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Andrezzin_cec', 'name': 'Mendes 🦊🇮🇹', 'id': 2324338861, 'id_str': '2324338861', 'indices': [0, 14]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [15, 22]}], 'symbols': []}",1.0
207,ObjectId(6091f3547ef2d107a440569e),2021-05-04 13:15:10,ô dar olhadinha dm patrão gentileza,['Nubank'],Brasil,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}], 'symbols': []}",1.0
208,ObjectId(6091f3547ef2d107a440569f),2021-05-04 13:15:15,sonhar taxada compra esperar chegar senhor vigiar,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
210,ObjectId(6091f3547ef2d107a44056a1),2021-05-04 13:15:25,trofeuzinh rsrrs,['Nubank'],Brasil,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}], 'symbols': []}",1.0
211,ObjectId(6091f3547ef2d107a44056a2),2021-05-04 13:15:29,roupas chegar brasil amém,['SHEIN'],"Sarandi, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
212,ObjectId(6091f3547ef2d107a44056a3),2021-05-04 13:15:33,sentir especial entro twitter descubro dar aumento mundo,['Nubank'],"São Paulo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
213,ObjectId(6091f3547ef2d107a44056a4),2021-05-04 13:15:37,vivianlana _ amazon antix marca compro vestir shopee,['SHEIN'],🇮🇱,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'vivianlana_', 'name': 'Viví Lana™ (ENCOMENDAS ABERTAS)', 'id': 1239583750561902593, 'id_str': '1239583750561902593', 'indices': [0, 12]}], 'symbols': []}",1.0
214,ObjectId(6091f3547ef2d107a44056a5),2021-05-04 13:15:38,aumentar saber bom,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
216,ObjectId(6091f3547ef2d107a44056a7),2021-05-04 13:15:56,cruzeiro engajamentocec patrocinar,['Xiaomi'],"Lavras, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Cruzeiro', 'name': 'Cruzeiro 🦊', 'id': 1562061097, 'id_str': '1562061097', 'indices': [0, 9]}, {'screen_name': 'EngajamentoCEC', 'name': 'Engajamento do Cruzeiro 🦊', 'id': 1283743493429571585, 'id_str': '1283743493429571585', 'indices': [10, 25]}, {'screen_name': '10neto', 'name': 'Craque Neto 10', 'id': 66458391, 'id_str': '66458391', 'indices': [26, 33]}, {'screen_name': 'Xiaomi', 'name': 'Xiaomi', 'id': 377228272, 'id_str': '377228272', 'indices': [34, 41]}], 'symbols': []}",1.0
218,ObjectId(6091f3547ef2d107a44056a9),2021-05-04 13:16:06,vivianlana _ oi anjooo vários lugares compro saber,['SHEIN'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'vivianlana_', 'name': 'Viví Lana™ (ENCOMENDAS ABERTAS)', 'id': 1239583750561902593, 'id_str': '1239583750561902593', 'indices': [0, 12]}], 'symbols': []}",1.0
219,ObjectId(6091f3547ef2d107a44056aa),2021-05-04 13:16:08,vez aumentar saber perigo,['Nubank'],RJ/zn,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
220,ObjectId(6091f3547ef2d107a44056ab),2021-05-04 13:16:12,delta plus,['Xiaomi'],"Rio de Janeiro, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Sousamarques94', 'name': 'Matheus', 'id': 775824223982026752, 'id_str': '775824223982026752', 'indices': [0, 15]}], 'symbols': []}",1.0
223,ObjectId(6091f3547ef2d107a44056ae),2021-05-04 13:16:18,legadaodamassa acreditar pagar dívida fuik,['Nubank'],"Campinas, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'legadaodamassa', 'name': 'LEGADÃO DO VIGOR™', 'id': 3875236456, 'id_str': '3875236456', 'indices': [0, 15]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [16, 23]}], 'symbols': []}",1.0
224,ObjectId(6091f3547ef2d107a44056af),2021-05-04 13:16:18,traduza gentileza,['Nubank'],"Belo Horizonte, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}], 'symbols': []}",1.0
226,ObjectId(6091f3547ef2d107a44056b1),2021-05-04 13:16:36,campanha feat dizer berenice maraaa sempre gênia,['Boticário'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
228,ObjectId(6091f3547ef2d107a44056b3),2021-05-04 13:16:44,nunca achar mandar link mamda pfvrr,['SHEIN'],Salvador/Bahia,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': '_gabriel_geno_', 'name': 'geno', 'id': 1132689273700929536, 'id_str': '1132689273700929536', 'indices': [0, 15]}], 'symbols': []}",1.0
229,ObjectId(6091f3547ef2d107a44056b4),2021-05-04 13:16:44,brasileiro querer coisas classificação juliette campeão julietteday votar,['Nubank'],Seabra Bahia,"{'hashtags': [{'text': 'JulietteDay', 'indices': [79, 91]}], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
230,ObjectId(6091f3547ef2d107a44056b5),2021-05-04 13:16:51,acordar vontade parcelar vezes,['Nike'],"Santa Catarina, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
234,ObjectId(6091f3547ef2d107a44056b9),2021-05-04 13:16:54,stick_line conta jurídica,['Nubank'],"Juiz de Fora, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'stick_line', 'name': 'Stick Line', 'id': 45965876, 'id_str': '45965876', 'indices': [0, 11]}], 'symbols': []}",1.0
236,ObjectId(6091f3547ef2d107a44056bb),2021-05-04 13:17:03,alguém usar cartão picpay,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
238,ObjectId(60994ca4b936924605170070),2021-05-10 14:38:40,mallanlets migar negocio chegar,['SHEIN'],Goiânia,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'mallanlets', 'name': '𝐿𝑒́𝑡𝑖𝑐̧𝑎', 'id': 77533178, 'id_str': '77533178', 'indices': [0, 11]}], 'symbols': []}",1.0
239,ObjectId(60994ca4b93692460517009d),2021-05-10 14:44:59,ver review bom celula rodar lisinho free fire sobre,['Xiaomi'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
240,ObjectId(60994ca4b936924605170068),2021-05-10 14:37:47,liberar,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
244,ObjectId(60994ca4b9369246051700aa),2021-05-10 14:46:21,miui ainda chegar junho junho achar passar desenvolver miui,['Xiaomi'],Zona Segura de Alexandria,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
245,ObjectId(60994ca4b9369246051700b4),2021-05-10 14:48:25,brendinhakonig negativo prefiro uso duas problemas,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Brendinhakonig', 'name': 'Brendinha', 'id': 1274867376119590916, 'id_str': '1274867376119590916', 'indices': [0, 15]}], 'symbols': []}",1.0
246,ObjectId(60994ca4b9369246051700dc),2021-05-10 14:51:45,,['Xiaomi'],i would give anything to have at least one sec with 𝗺𝗶𝗻𝗵𝘆𝘂𝗸 and ask if he can cook for me.,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
248,ObjectId(60994ca4b9369246051700ea),2021-05-10 14:53:27,monitorando,['Nubank'],Rio de Janeiro - RJ,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [0, 7]}], 'symbols': []}",1.0
249,ObjectId(60994ca4b9369246051700ee),2021-05-10 14:53:47,pensar mto,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'sep_bella_', 'name': 'isa✨', 'id': 1187345880938098688, 'id_str': '1187345880938098688', 'indices': [0, 11]}], 'symbols': []}",1.0
250,ObjectId(60994ca4b936924605170104),2021-05-10 14:57:03,nunca arrepender ter trocar iphone,['Xiaomi'],Rio de Janeiro,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
251,ObjectId(60994ca4b936924605170078),2021-05-10 14:39:13,brendinhakonig camisa time tênis diferença abismal agora resto ganhar,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Brendinhakonig', 'name': 'Brendinha', 'id': 1274867376119590916, 'id_str': '1274867376119590916', 'indices': [0, 15]}], 'symbols': []}",1.0
253,ObjectId(60994ca4b9369246051700c4),2021-05-10 14:49:48,parceria rexpeita oficialmente confirmar dezembro bonéfogo,['Nike'],mongol,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
257,ObjectId(60994ca4b93692460517007c),2021-05-10 14:39:51,,['Nike'],Cristiano ronaldo•,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
259,ObjectId(60994ca4b9369246051700b3),2021-05-10 14:47:59,cleytxn guarana chamar prefiro,['Coca-cola'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'cleytxn', 'name': 'seu amigo cleyto', 'id': 1239035701146062848, 'id_str': '1239035701146062848', 'indices': [0, 8]}, {'screen_name': 'guarana', 'name': 'Guaraná Antarctica', 'id': 118724265, 'id_str': '118724265', 'indices': [9, 17]}], 'symbols': []}",1.0
262,ObjectId(60994ca4b9369246051700da),2021-05-10 14:51:43,viciar blazer mal terminei compra coloquei blazers carrinho,['SHEIN'],"Florianópolis, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
267,ObjectId(60994ca4b93692460517009e),2021-05-10 14:45:08,coisa melhor aniversário criança cachorro quente,['Coca-cola'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
269,ObjectId(60994ca4b9369246051700c1),2021-05-10 14:49:44,,['Nike'],🧢•🐇•🍸•🌵,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
270,ObjectId(60994ca4b9369246051700c8),2021-05-10 14:50:17,seios,['Nike'],Astroworld,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
272,ObjectId(60994ca4b9369246051700f7),2021-05-10 14:54:43,legal desse jeito saque poder der grátis finalmente pros outros bancos,['Nubank'],São Paulo,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'g1', 'name': 'G1', 'id': 8802752, 'id_str': '8802752', 'indices': [0, 3]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [35, 42]}], 'symbols': []}",1.0
274,ObjectId(60994ca4b936924605170100),2021-05-10 14:56:33,preferir,['Coca-cola'],4490,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'meguii207', 'name': 'Margarida', 'id': 1213236907095650304, 'id_str': '1213236907095650304', 'indices': [0, 10]}], 'symbols': []}",1.0
275,ObjectId(60994ca4b936924605170107),2021-05-10 14:57:15,únicas coisas fazer feliz lipo papar celular novo bom dinheiro roupas,['SHEIN'],Rio Grande - RS,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
276,ObjectId(60994ca4b93692460517006e),2021-05-10 14:38:29,luizesampaio foda kkkkkkkkkkk,['Nubank'],RJ,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'luizesampaio', 'name': 'Luize Sampaio', 'id': 1379526474, 'id_str': '1379526474', 'indices': [0, 13]}, {'screen_name': 'nubank', 'name': 'Nubank', 'id': 2319390320, 'id_str': '2319390320', 'indices': [14, 21]}], 'symbols': []}",1.0
278,ObjectId(60994ca4b936924605170071),2021-05-10 14:38:41,colocar dois mlk pagar trakinas lan house jogar nesse bot pain ganhar pqp,['Coca-cola'],em algum lugar por ai,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
282,ObjectId(60994ca4b936924605170084),2021-05-10 14:40:41,deus vontade comer coxinhas litro bem gelar cm limão,['Coca-cola'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'angelicxl_tarot', 'name': 'gabs', 'id': 1294456781251518470, 'id_str': '1294456781251518470', 'indices': [3, 19]}], 'symbols': []}",1.0
284,ObjectId(60994ca4b9369246051700b5),2021-05-10 14:48:27,gastar reais roupa maquiagem vir ventania dar presentes,['SHEIN'],🍢🍞 ᵎ ♡̶ ૮˃̵֊ ˂̵ ა . . . ★,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
286,ObjectId(60994ca4b9369246051700ba),2021-05-10 14:48:58,alexandreelf vários agora marca nunca usar melhor experimentar antes pé espaiado rola,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'Alexandreelf', 'name': 'Alexandre Lima', 'id': 858034773419339777, 'id_str': '858034773419339777', 'indices': [0, 13]}], 'symbols': []}",1.0
296,ObjectId(60994ca4b9369246051700a6),2021-05-10 14:45:38,chegar pontos fazer primeira compra deus abençoar reais descontar ganhar,['SHEIN'],"Mato Grosso, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
298,ObjectId(60994ca4b9369246051700b8),2021-05-10 14:48:43,joaoalvesjhja nauticope combo hamburguer bata frita,['Coca-cola'],Brasil,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'joaoalvesjhja', 'name': '𝙅𝙤𝙝𝙣𝙣𝙮 𝘽. 𝙂𝙤𝙤𝙙 ★ ✊🏼🚩', 'id': 842482153, 'id_str': '842482153', 'indices': [0, 14]}, {'screen_name': 'nauticope', 'name': 'Náutico', 'id': 43343061, 'id_str': '43343061', 'indices': [15, 25]}], 'symbols': []}",1.0
303,ObjectId(60994ca4b93692460517005b),2021-05-10 14:35:23,relacionamento sério,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
304,ObjectId(60994ca4b936924605170066),2021-05-10 14:37:14,teste caráter,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
305,ObjectId(60994ca4b93692460517005d),2021-05-10 14:35:28,lembro época existir camisa bahia coritiba,['Nike'],Gotham,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
306,ObjectId(60994ca4b936924605170072),2021-05-10 14:38:46,chkhwa favoritos pedir socorro dinheiro,['SHEIN'],،،̲  ֪  ᡕᠵ᠊ᡃ່࡚ࠢ⸝່ࠡࠣ᠊߯᠆ࠣ࠘ᡁࠣ࠘᠊᠊ࠢ࠘𐡏٫ 🏴‍☠️ ࣪  ֪ 𝐏-𝐏𝙴𝐖𝚆𝐖 ! ! あなたはろくでなしをクソ離れて行きます ! ! ! 💤 𝚈𝙾𝚄 𝙰𝚁𝙴𝙽𝚃 ♡ 𝐊𝙸𝐌 𝐇𝙾𝐍𝙶𝐉𝙾𝐎𝙽𝐆 ♡,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'CHKHWA', 'name': '𝐌𝐈𝐑𝐄.', 'id': 704368087232024577, 'id_str': '704368087232024577', 'indices': [0, 7]}], 'symbols': []}",1.0
309,ObjectId(60994ca4b93692460517009c),2021-05-10 14:44:37,eumatheussr competição,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'eumatheussr', 'name': 'matheus☔ˢᶜᶜᵖ', 'id': 1290707959845212160, 'id_str': '1290707959845212160', 'indices': [0, 12]}], 'symbols': []}",1.0
310,ObjectId(60994ca4b93692460517009f),2021-05-10 14:45:09,malhar ficar corpo bonito roupas,['SHEIN'],"Pernambuco, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
311,ObjectId(60994ca4b9369246051700b7),2021-05-10 14:48:42,caralho fazer lista desejos dar reais pqp,['SHEIN'],ele / dele,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
312,ObjectId(60994ca4b9369246051700c7),2021-05-10 14:50:07,lucasrampanellj sdds camisa rosa,['Nike'],"Araraquara, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'LucasRampanellj', 'name': 'Lucas X', 'id': 788473419511783424, 'id_str': '788473419511783424', 'indices': [0, 16]}], 'symbols': []}",1.0
314,ObjectId(60994ca4b9369246051700f5),2021-05-10 14:54:28,começar semana batata frito deus poder julgar,['Coca-cola'],"Rio Grande do Sul, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
316,ObjectId(60994ca4b936924605170089),2021-05-10 14:41:23,bem gelar agr,['Coca-cola'],"Campos dos Goytacazes, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
317,ObjectId(60994ca4b93692460517009a),2021-05-10 14:43:48,aumentar limiteee msm tendo tirar pagar kkkkkkk,['Nubank'],"Imperatriz, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
319,ObjectId(60994ca4b9369246051700ac),2021-05-10 14:47:11,morro limão cpx lixão bocar mato estrada vila ar pontilhão colina morro milagres monte alto m reserva muruba guarani caiçara cristóvão praia siqueira família grande complicar,['Coca-cola'],"Nova Friburgo, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'morrodolimao', 'name': 'Morro Do Limão', 'id': 1045038470983548933, 'id_str': '1045038470983548933', 'indices': [3, 16]}], 'symbols': []}",1.0
320,ObjectId(60994ca4b9369246051700c6),2021-05-10 14:50:00,reusccp escolher facilmente lugar,['Nike'],no coração dela,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'reusccp', 'name': 'ؘluci #laraday', 'id': 1252233757, 'id_str': '1252233757', 'indices': [0, 8]}], 'symbols': []}",1.0
321,ObjectId(60994ca4b9369246051700d6),2021-05-10 14:51:15,beautaefu uso inter dois bons inter app completo diversas funcionalidades zero tarifas,['Nubank'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'beautaefu', 'name': 'Karina Yoon', 'id': 904906569061715968, 'id_str': '904906569061715968', 'indices': [0, 10]}], 'symbols': []}",1.0
324,ObjectId(60994ca4b9369246051700f8),2021-05-10 14:54:51,mn coleção nova,['Nike'],"Campinas, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
325,ObjectId(60994ca4b9369246051700fb),2021-05-10 14:55:10,tike mlr jeito,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'joaquim81590394', 'name': 'apenas', 'id': 1289691773636411392, 'id_str': '1289691773636411392', 'indices': [0, 16]}], 'symbols': []}",1.0
326,ObjectId(60994ca4b936924605170065),2021-05-10 14:37:12,jogar calça abóbora blusão quadricular ficar hora junto all star,['Nike'],"Rio de Janeiro, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'FlashFlash123', 'name': 'Miguel💙💙', 'id': 2925083743, 'id_str': '2925083743', 'indices': [0, 14]}], 'symbols': []}",1.0
327,ObjectId(60994ca4b93692460517007f),2021-05-10 14:40:02,eae_guizin _ roupa tênis,['Nike'],terra do pão de queijo,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'eae_guizin_', 'name': 'A$$I$', 'id': 1376279299209232386, 'id_str': '1376279299209232386', 'indices': [0, 12]}], 'symbols': []}",1.0
328,ObjectId(60994ca4b93692460517008b),2021-05-10 14:41:51,teste caráter,['Nike'],RJ,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
331,ObjectId(60994ca4b936924605170095),2021-05-10 14:43:12,triste tenis novo iriar melhorar rapidin,['Nike'],"Itaperuna, Brasil","{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
332,ObjectId(60994ca4b9369246051700ae),2021-05-10 14:47:06,tmb lt tens pagar,['Coca-cola'],he/she/they 19,"{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'nemfazsentido24', 'name': 'Faria 🎨', 'id': 1000377915446648832, 'id_str': '1000377915446648832', 'indices': [0, 16]}], 'symbols': []}",1.0
334,ObjectId(60994ca4b9369246051700be),2021-05-10 14:49:28,parceria rexpeita oficialmente confirmar dezembro,['Nike'],None,"{'hashtags': [], 'urls': [], 'user_mentions': [], 'symbols': []}",1.0
335,ObjectId(60994ca4b9369246051700f9),2021-05-10 14:54:50,mola feio vans usuário óleo sobre tela,['Nike'],"miss u, x ","{'hashtags': [], 'urls': [], 'user_mentions': [{'screen_name': 'PedroSeschini', 'name': '𝖕𝖊𝖉𝖗𝖔𝖘𝖊𝖘𝖈𝖍𝖎𝖓𝖎 🩸🐉', 'id': 4013112622, 'id_str': '4013112622', 'indices': [3, 17]}], 'symbols': []}",1.0
